Dish,Per Serving Household Measure, B-Carotene , Calcium , Carbohydrate , Cholesterol , Dietary fibre , Energy , Iron , Monounsaturated fat , Phosphorus , Polyunsaturated fat , Potassium , Protein , Retinol , Riboflavin , Saturated fat , Selenium , Sodium , Starch , Sugar , Thiamin , Total fat , Vitamin A , Vitamin C , Vitamin D , Water , Whole-grains , Zinc 
" Beef, rendang with soya sauce, simmered (Malay) ", Plate-16cm (138.18g) ,616.42,34.96,3.76,89.18,1.98,312.7,5.94,1.98,251.07,0.39,486.53,30.32,0.0,0.21,16.33,33.16,960.21,0.68,3.08,0.07,19.61,102.74,0.0,0.0,75.67,0.0,13.93
" Biscuit, savoury, salada style ", Piece (15g) ,1.95,3.0,9.3,2.4,0.54,62.1,0.27,0.62,23.25,0.2,21.6,1.29,0.6,0.03,0.89,1.58,139.05,9.24,0.06,0.03,2.04,0.9,0.0,0.0,0.59,0.0,0.14
 Braised duck rice , Plate-23cm (417g) ,0.38,26.85,83.44,100.41,0.75,748.43,4.42,15.14,0.0,4.46,0.0,26.48,42.33,0.0,11.38,0.0,1680.93,0.0,0.0,0.0,33.61,42.41,0.0,0.0,266.71,0.0,0.0
 Braised duck with yam rice , Plate-23cm (350g) ,45.5,21.0,95.55,21.0,3.5,556.5,2.1,2.8,182.0,1.4,259.0,21.0,0.0,0.6,2.59,0.0,1081.5,86.1,1.75,0.42,9.8,7.0,0.0,0.0,220.15,0.0,1.75
 Braised pork ribs with black bean sauce , Plate-16cm (105.46g) ,94.18,73.61,2.51,66.62,1.59,185.93,2.27,4.99,117.9,2.06,189.62,16.55,18.46,0.15,4.58,24.15,293.81,0.54,1.97,0.22,12.19,34.15,1.58,0.0,71.54,0.0,4.22
" Brown rice laksa noodles, cooked ", Bowl-rice (11and 1/2 cm) (200g) ,0.0,7.2,72.2,0.0,2.7,312.0,0.54,0.36,9.0,0.12,30.6,3.4,0.0,0.08,0.18,0.0,19.26,72.2,0.0,0.0,0.9,0.0,0.0,0.0,110.4,0.0,0.9
" Brown rice porridge, plain ", Bowl-rice (11and 1/2 cm) (256g) ,0.0,10.24,14.85,0.0,0.77,76.8,0.51,0.15,71.68,0.13,51.2,3.07,0.0,0.0,0.1,30.72,10.24,14.85,0.0,0.05,0.51,0.0,0.0,0.0,233.73,0.0,0.51
 Bulgogi Gimbap (Korean Rice Roll with Spicy Beef) , 1 portion (185g) ,1668.7,39.04,27.75,0.0,1.85,229.4,1.78,2.65,0.0,1.24,0.0,14.43,17.76,0.0,2.7,0.0,664.15,23.87,3.89,0.0,6.83,296.0,1.48,0.0,126.36,0.0,0.0
 Caesar salad , 1 portion (213g) ,0.0,183.18,5.71,10.65,3.41,93.72,1.3,0.98,168.27,0.3,460.08,6.77,0.0,0.08,2.52,0.43,176.79,0.0,4.43,0.09,4.37,643.26,30.03,0.0,191.08,0.0,0.0
 Cafe 26 oriental salad dressing , Dessertspoon (10g) ,0.0,0.0,4.4,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,62.0,0.0,4.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
 Cafe 26 tangy salad dressing , Dessertspoon (10g) ,0.0,0.0,3.2,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,57.0,0.0,2.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
" Carrot cake with egg, plain, mashed & fried ", Plate-20cm (350g) ,0.0,80.5,15.4,231.0,5.6,402.5,6.65,13.93,238.0,4.48,199.5,12.25,35.0,0.84,14.04,25.9,1326.5,15.4,0.0,0.11,32.55,35.0,0.0,0.0,246.05,0.0,1.75
 Cereal prawn , Plate-20cm (450g) ,598.5,1017.0,3.15,391.5,12.6,1107.0,27.9,30.02,967.5,8.55,981.0,93.6,486.0,0.63,41.4,171.9,2578.5,3.15,0.0,1.49,80.1,585.0,0.0,52.38,205.2,0.0,6.75
 Char kway teow , Plate-23cm (384g) ,0.0,195.84,76.03,234.24,7.3,744.96,6.53,4.61,0.0,3.07,0.0,22.66,0.0,0.0,29.18,0.0,1459.2,72.96,3.07,0.0,38.4,0.0,0.0,0.0,238.08,0.0,0.0
 Char siew chee cheong fun , Piece (80.5g) ,-0.81,9.66,11.27,4.83,1.85,65.03,0.4,0.48,0.0,0.16,0.0,2.01,-0.81,0.0,0.64,0.0,204.47,0.0,0.0,0.0,1.29,-0.81,0.0,0.0,65.21,0.0,0.0
 Chee cheong fun , Piece (101.33g) ,0.0,6.08,25.64,0.0,1.22,133.2,0.3,0.71,0.0,0.41,0.0,2.53,0.0,0.0,1.01,0.0,271.56,0.0,0.0,0.0,2.23,0.0,0.0,0.0,68.9,0.0,0.0
 Chee pah , Piece (55g) ,0.0,4.4,27.67,0.0,0.44,166.1,0.5,0.0,44.0,0.0,60.5,4.46,1.1,0.01,0.0,0.0,22.0,0.0,0.0,0.04,4.18,1.1,0.0,0.0,17.99,0.0,0.0
" Cheesy BBQ Meltz, KFC ", Whole (200g) ,0.0,0.0,39.4,0.0,0.0,558.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,13.4,0.0,1622.0,0.0,0.0,0.0,34.2,0.0,0.0,0.0,0.0,0.0,0.0
 Chendol , Packet (368g) ,0.0,47.84,58.88,0.0,4.05,386.4,2.94,0.99,114.08,0.33,404.8,5.52,0.0,0.07,12.14,0.0,195.04,15.82,43.79,0.04,14.72,0.0,0.0,0.0,287.78,0.0,0.74
" Chendol, durian ", Bowl-dessert (15 cm) (398g) ,0.0,58.51,53.25,0.0,10.35,408.75,0.0,1.19,105.87,0.28,518.99,5.73,0.0,0.23,16.64,9.55,169.15,26.47,26.79,0.07,19.22,0.0,0.0,0.0,314.78,0.0,0.8
" Chendol, mango ", Bowl-soup (16 and 1/2 cm) (383g) ,218.31,61.28,46.73,0.0,4.6,333.21,1.92,0.96,118.73,0.27,467.26,4.98,0.0,0.04,12.14,12.26,210.65,9.19,37.53,0.04,14.17,34.47,1.15,0.0,308.32,0.0,0.77
 Chicken briyani , Plate-23cm (400g) ,160.0,80.0,88.0,136.0,7.2,756.4,4.0,11.2,0.0,4.4,0.0,33.6,0.0,0.0,12.8,0.0,1428.0,0.0,0.0,0.0,30.0,28.0,0.0,20.24,240.0,0.0,0.0
 Chicken curry noodles , Bowl-soup (16 and 1/2 cm) (532g) ,393.15,183.54,48.62,103.21,7.45,807.58,3.03,18.09,200.03,6.22,524.55,36.6,53.2,0.29,25.27,101.08,2581.26,47.93,0.69,0.18,51.87,118.74,-5.32,0.0,366.76,0.0,-5.32
" Chicken satay, without peanut sauce ", Stick (9g) ,0.0,1.89,1.8,9.18,0.0,21.36,0.14,0.23,18.63,0.08,30.42,2.46,1.08,0.04,0.15,0.0,23.13,0.08,1.72,0.01,0.49,1.08,0.0,0.0,4.13,0.0,0.05
 Chilli crab , Plate-23cm (300g) ,465.0,550.5,14.7,441.0,0.03,424.47,7.5,9.3,0.0,3.3,0.0,33.9,0.03,0.0,11.7,0.0,1608.0,0.0,0.0,0.0,25.5,77.52,0.0,0.0,213.0,0.0,0.0
 Chwee kueh , Whole (57.33g) ,0.0,8.03,10.72,1.15,1.09,56.59,0.4,0.34,0.0,0.11,0.0,1.03,0.0,0.0,0.57,0.0,230.47,0.0,0.0,0.0,1.03,0.0,0.0,0.0,43.0,0.0,0.0
" Claypot rice with salted fish,chicken and chinese sausages ", Plate-23cm (350g) ,0.0,70.0,54.6,98.0,3.5,527.1,1.75,8.4,0.0,3.15,0.0,28.35,0.0,0.0,9.1,0.0,1281.0,0.0,0.0,0.0,21.7,0.0,0.0,0.0,238.0,0.0,0.0
" Claypot rice, with mixed vegetable ", Bowl-soup (16 and 1/2 cm) (407g) ,2165.24,44.77,63.49,8.14,6.51,419.21,1.63,4.97,142.45,2.89,309.32,11.4,32.56,0.12,4.84,43.96,1416.36,59.42,4.07,0.08,13.43,394.79,4.88,0.0,292.23,0.0,2.04
" Claypot rice, with prawn ", Bowl-soup (16 and 1/2 cm) (387g) ,212.85,69.66,72.37,108.36,3.1,433.44,0.0,2.9,205.11,1.55,220.59,17.8,38.7,0.04,3.02,129.65,1021.68,68.5,3.87,0.08,7.74,73.53,1.55,0.0,271.29,0.0,2.71
" Claypot rice, with stewed beef ", Plate-23cm (407g) ,402.93,36.63,85.88,109.89,4.07,643.06,3.26,7.16,240.13,2.08,366.3,34.19,52.91,0.16,7.73,69.6,879.12,83.44,2.85,0.12,17.91,118.03,0.81,0.0,267.4,0.0,5.7
 Coconut kueh tutu , Piece (20g) ,-0.2,1.6,11.54,-0.2,0.42,61.6,0.1,0.06,8.6,0.02,15.0,0.86,-0.2,0.0,1.17,-0.2,2.4,6.9,4.3,0.0,1.32,-0.2,-0.2,0.0,6.22,0.0,0.14
 Curry fish head , Bowl-soup (16 and 1/2 cm) (1320.5g) ,660.25,665.53,48.86,448.97,18.49,1391.83,22.46,18.49,0.0,7.92,0.0,91.11,2244.85,0.0,60.74,0.0,4793.42,0.0,0.0,0.0,91.11,2354.85,0.0,0.0,1043.2,0.0,0.0
" Curry puff, beef ", Piece (78.4g) ,109.76,21.95,24.38,26.66,2.2,265.78,1.72,4.78,0.0,0.71,0.0,7.29,-0.78,0.0,9.25,0.0,454.72,0.0,0.0,0.0,15.44,18.03,0.0,0.0,29.01,0.0,0.0
